#	file	col	type	count	unique	null	min	max	samples
0	train_features.csv	sig_id	object	23814	23814	0	id_000644bb2	id_ffffdd77b	id_068246406(1)/id_d12af8e11(1)/id_afc3c6377(1)/id_a4791aab0(1)/id_ab89e7ae1(1)/id_57f671d73(1)/id_8e6829715(1)/id_7f41d5938(1)/id_cb9604826(1)/id_e95f2dc5f(1)
1	train_features.csv	cp_type	object	23814	2	0	ctl_vehicle	trt_cp	trt_cp(21948)/ctl_vehicle(1866)
2	train_features.csv	cp_time	int64	23814	3	0	24	72	48(8250)/72(7792)/24(7772)
3	train_features.csv	cp_dose	object	23814	2	0	D1	D2	D1(12147)/D2(11667)
4	train_features.csv	g-0	float64	23814	14367	0	-5.513	10.0	0.0(22)/-0.3372(15)/10.0(14)/-1.004(10)/-1.086(9)/-1.085(9)/1.113(8)/-1.103(8)/0.1947(8)/-1.074(8)
5	train_features.csv	g-1	float64	23814	13893	0	-5.737	5.039	-1.145(10)/-1.14(10)/-1.138(9)/-1.32(8)/-1.166(8)/-1.12(8)/-1.313(8)/-1.289(8)/-1.013(8)/-1.205(8)
6	train_features.csv	g-2	float64	23814	14210	0	-9.104	8.257	1.1(11)/1.122(10)/1.03(9)/1.018(9)/1.083(9)/1.095(9)/-0.0192(9)/-1.107(8)/1.068(8)/1.123(8)
7	train_features.csv	g-3	float64	23814	12793	0	-5.998	10.0	0.0(48)/0.3372(15)/-0.3372(15)/-1.084(12)/-0.0766(11)/-0.0529(11)/-0.1295(10)/-0.0371(10)/-0.0034(10)/0.0708(9)
8	train_features.csv	g-4	float64	23814	14038	0	-6.369	10.0	0.0(15)/-1.018(12)/-1.129(10)/1.017(10)/-1.084(9)/-0.0693(9)/-1.135(8)/-0.0232(8)/-1.151(8)/0.0037(8)
9	train_features.csv	g-5	float64	23814	14375	0	-10.0	7.282	0.0(12)/-1.207(9)/1.016(9)/-1.074(9)/1.163(9)/-1.416(9)/-1.108(9)/1.009(9)/1.042(9)/1.092(9)
10	train_features.csv	g-6	float64	23814	13741	0	-10.0	7.333	0.0(15)/-0.3372(12)/-1.013(12)/0.3372(11)/-1.072(11)/-1.109(10)/1.069(10)/-1.148(10)/1.064(9)/1.218(9)
11	train_features.csv	g-7	float64	23814	14106	0	-10.0	5.473	0.0(14)/1.062(11)/-1.028(10)/0.3372(10)/-1.007(9)/1.186(8)/1.082(8)/-1.043(8)/0.0964(8)/-1.149(8)
12	train_features.csv	g-8	float64	23814	14583	0	-10.0	8.887	-10.0(108)/1.041(12)/1.023(11)/1.004(10)/1.084(9)/1.177(9)/-1.046(8)/0.2939(8)/1.248(8)/1.111(8)
13	train_features.csv	g-9	float64	23814	14081	0	-8.337	6.433	1.053(12)/1.052(11)/1.006(11)/1.204(10)/1.232(10)/1.075(10)/1.01(10)/1.105(10)/1.022(10)/0.0(10)
14	train_features.csv	g-10	float64	23814	14316	0	-10.0	10.0	0.0(18)/0.3372(15)/1.035(12)/1.164(10)/1.054(10)/-1.009(10)/1.01(9)/1.015(9)/0.2803(9)/-1.041(9)
15	train_features.csv	g-11	float64	23814	14385	0	-5.87	10.0	0.0(17)/-1.204(11)/-1.153(11)/-1.027(10)/-1.053(10)/-1.142(9)/1.089(9)/1.113(9)/-1.037(9)/-1.002(9)
16	train_features.csv	g-12	float64	23814	14274	0	-8.587	10.0	0.0(30)/-0.3372(15)/0.3372(15)/1.006(10)/1.232(10)/1.058(10)/-1.08(10)/1.26(9)/-1.183(9)/0.6745(9)
17	train_features.csv	g-13	float64	23814	14186	0	-5.018	10.0	0.0(27)/10.0(18)/0.3372(14)/-0.3372(12)/-1.002(9)/1.013(9)/0.6745(9)/-1.044(9)/1.086(9)/-1.261(8)
18	train_features.csv	g-14	float64	23814	14400	0	-10.0	10.0	0.0(16)/1.196(9)/-1.234(9)/-1.054(9)/-1.097(9)/1.108(8)/-1.222(8)/0.6745(8)/-1.023(8)/1.002(8)
19	train_features.csv	g-15	float64	23814	10757	0	-10.0	4.134	0.0(108)/0.3372(24)/-0.3426(21)/0.2937(15)/-0.3372(14)/-0.0674(14)/0.0516(13)/-0.2138(13)/0.3575(13)/0.029(13)
20	train_features.csv	g-16	float64	23814	14306	0	-10.0	6.418	0.0(13)/1.201(12)/1.064(12)/1.084(12)/1.225(11)/1.32(11)/1.065(10)/1.347(10)/1.388(10)/1.241(10)
21	train_features.csv	g-17	float64	23814	13868	0	-10.0	4.75	0.0(41)/0.3372(20)/-0.3372(17)/1.048(12)/0.0421(11)/1.023(9)/1.045(9)/0.1878(9)/0.7517(9)/1.021(9)
22	train_features.csv	g-18	float64	23814	8055	0	-4.226	8.872	0.0(498)/-0.3372(50)/0.3372(42)/-0.1407(35)/-0.0772(30)/-0.2314(28)/-0.0769(27)/-0.1409(27)/-0.3426(25)/-0.0067(25)
23	train_features.csv	g-19	float64	23814	11075	0	-10.0	4.081	0.0(228)/0.3372(117)/-0.3372(33)/0.6745(24)/0.2695(24)/0.4809(23)/0.4502(21)/0.2334(20)/0.1063(19)/-0.235(18)
24	train_features.csv	g-20	float64	23814	14440	0	-10.0	9.842	0.0(14)/-0.3372(11)/1.099(9)/1.014(9)/-1.108(9)/1.016(8)/-0.1278(8)/1.16(8)/1.146(8)/-0.3501(8)
25	train_features.csv	g-21	float64	23814	13332	0	-5.7	5.248	0.0(43)/-0.3372(26)/-0.4137(10)/-1.049(9)/0.3022(9)/0.3372(9)/-1.024(9)/-1.073(9)/1.02(8)/1.1(8)
26	train_features.csv	g-22	float64	23814	12380	0	-10.0	5.942	0.0(72)/-0.0196(15)/0.0783(12)/-0.2735(11)/-0.0661(11)/-0.3372(11)/-0.1494(11)/0.3372(10)/0.2944(10)/1.071(10)
27	train_features.csv	g-23	float64	23814	6079	0	-10.0	5.201	0.0(2616)/0.3372(547)/-0.3372(307)/0.3711(54)/0.2826(54)/-0.915(51)/0.0003(46)/-0.2873(45)/0.6745(45)/0.2195(44)
28	train_features.csv	g-24	float64	23814	14205	0	-10.0	10.0	0.0(14)/1.107(11)/1.086(11)/1.007(10)/-1.352(10)/1.068(10)/1.013(10)/1.039(10)/-1.001(9)/-1.051(9)
29	train_features.csv	g-25	float64	23814	13960	0	-8.272	8.494	0.3372(14)/0.0(12)/-1.028(10)/-1.024(9)/-0.0411(9)/0.0338(9)/-1.056(9)/-1.095(8)/0.0532(8)/-0.2271(8)
30	train_features.csv	g-26	float64	23814	13838	0	-8.184	10.0	0.0(47)/-0.3372(15)/0.3372(12)/-1.133(10)/1.151(10)/-1.043(10)/1.077(9)/1.038(9)/-1.063(9)/0.1582(9)
31	train_features.csv	g-27	float64	23814	14018	0	-4.835	10.0	0.0(15)/-1.123(12)/-1.055(11)/1.281(10)/-1.107(10)/1.056(9)/1.005(9)/-1.042(9)/1.047(9)/1.263(9)
32	train_features.csv	g-28	float64	23814	11230	0	-7.913	10.0	0.0(162)/-0.3372(29)/0.0624(20)/-0.1376(18)/0.3372(17)/-0.0992(16)/0.1066(15)/-0.1784(14)/-0.026(13)/-0.1137(13)
33	train_features.csv	g-29	float64	23814	14174	0	-10.0	9.416	0.0(26)/0.3372(19)/-0.3372(13)/-1.003(10)/-1.089(9)/1.118(9)/-1.013(9)/1.034(9)/-1.072(9)/1.004(9)
34	train_features.csv	g-30	float64	23814	13474	0	-10.0	10.0	0.0(46)/-0.3372(19)/0.3372(16)/0.2668(10)/0.6745(9)/0.1089(9)/-0.0198(8)/-0.119(8)/-0.0611(8)/0.2934(8)
35	train_features.csv	g-31	float64	23814	12104	0	-2.956	10.0	0.0(130)/10.0(91)/-0.3372(32)/-0.0732(18)/0.3372(17)/-0.0263(17)/0.1804(15)/-0.1734(15)/-0.3285(15)/-0.0192(14)
36	train_features.csv	g-32	float64	23814	13842	0	-8.356	6.796	-1.105(12)/-1.103(10)/0.0(9)/-1.024(9)/-1.128(9)/1.039(9)/-1.065(9)/-1.014(9)/1.011(8)/-1.142(8)
37	train_features.csv	g-33	float64	23814	14282	0	-7.182	10.0	0.0(29)/1.021(11)/0.3372(10)/1.035(10)/1.014(9)/1.019(9)/1.026(9)/1.384(8)/1.084(8)/-1.096(8)
38	train_features.csv	g-34	float64	23814	14185	0	-10.0	10.0	1.05(10)/-1.062(10)/10.0(10)/-1.223(10)/-1.066(9)/0.0(9)/-1.237(9)/1.045(9)/-1.083(9)/-1.053(8)
39	train_features.csv	g-35	float64	23814	14232	0	-9.261	10.0	0.0(10)/1.1(10)/0.0215(9)/1.19(9)/1.082(9)/1.255(9)/-1.072(9)/-1.089(9)/1.123(9)/-1.028(9)
40	train_features.csv	g-36	float64	23814	14387	0	-10.0	5.834	-10.0(19)/0.0(15)/1.027(12)/0.3372(11)/-1.017(10)/1.066(9)/1.067(9)/-1.145(9)/-0.005(8)/-1.224(8)
41	train_features.csv	g-37	float64	23814	14575	0	-10.0	5.602	-10.0(344)/0.0(17)/0.3372(10)/-1.014(9)/1.065(9)/1.058(8)/1.095(8)/1.027(8)/0.2867(8)/1.204(8)
42	train_features.csv	g-38	float64	23814	14580	0	-10.0	10.0	10.0(251)/0.0(19)/-1.003(14)/-1.01(10)/-1.106(10)/1.023(9)/-1.03(9)/-1.099(9)/-1.059(9)/-1.117(8)
43	train_features.csv	g-39	float64	23814	11388	0	-4.223	10.0	0.0(110)/0.3372(15)/0.0708(14)/0.2165(14)/-0.2873(14)/-0.0907(12)/0.2256(12)/0.1288(12)/-0.0951(12)/0.0998(11)
44	train_features.csv	g-40	float64	23814	13153	0	-10.0	4.201	0.0(83)/0.3372(32)/-10.0(23)/-0.3372(21)/1.035(13)/-1.062(11)/0.511(10)/1.11(10)/-0.0722(10)/0.6745(10)
45	train_features.csv	g-41	float64	23814	14392	0	-9.575	5.912	1.219(10)/1.005(10)/1.033(10)/1.359(9)/1.15(9)/1.072(9)/-1.059(9)/1.083(9)/-1.047(9)/1.331(9)
46	train_features.csv	g-42	float64	23814	13466	0	-10.0	3.967	0.0(57)/0.3372(29)/-0.3372(20)/0.6745(15)/1.079(11)/-1.041(10)/-0.058(10)/0.3828(10)/1.141(9)/1.011(9)
47	train_features.csv	g-43	float64	23814	13709	0	-4.807	10.0	0.0(24)/-0.3372(11)/-1.221(10)/-1.025(10)/1.028(10)/0.019(9)/1.219(9)/1.178(9)/-1.043(9)/0.3372(9)
48	train_features.csv	g-44	float64	23814	14226	0	-7.362	10.0	0.0901(11)/-1.049(11)/-1.03(10)/1.042(9)/1.044(9)/-1.101(9)/-1.024(9)/-1.036(9)/-1.006(9)/-0.2896(8)
49	train_features.csv	g-45	float64	23814	14228	0	-10.0	10.0	-1.197(12)/-1.058(12)/-1.062(12)/-1.007(11)/-1.02(11)/-1.039(10)/-0.1987(10)/-1.117(10)/-1.126(9)/-1.008(9)
50	train_features.csv	g-46	float64	23814	6674	0	-3.622	10.0	0.0(1730)/-0.3372(134)/0.3295(68)/-0.1943(67)/-0.1666(57)/-0.1055(50)/-0.1946(47)/0.1828(43)/-0.0692(43)/-0.1909(40)
51	train_features.csv	g-47	float64	23814	13657	0	-10.0	9.041	0.0(31)/-1.036(11)/-1.057(10)/1.061(10)/-1.171(10)/1.004(9)/-1.034(9)/-0.0442(9)/0.1882(9)/-1.058(9)
52	train_features.csv	g-48	float64	23814	14284	0	-7.68	10.0	0.0(34)/10.0(20)/0.3372(13)/1.066(11)/-1.115(11)/-1.249(10)/-1.037(10)/-1.01(9)/-1.118(9)/-1.11(9)
53	train_features.csv	g-49	float64	23814	13867	0	-6.577	10.0	0.0(13)/-1.022(12)/-1.247(12)/-1.042(11)/-1.099(11)/-1.005(10)/-1.008(10)/-1.105(10)/-1.036(10)/-1.089(9)
54	train_features.csv	g-50	float64	23814	14391	0	-10.0	4.889	-10.0(384)/0.0(24)/0.3372(13)/1.241(11)/1.048(10)/1.022(10)/1.125(10)/1.075(9)/1.06(8)/1.038(8)
55	train_features.csv	g-51	float64	23814	14091	0	-10.0	8.74	1.03(13)/-1.051(12)/1.064(11)/0.0(11)/1.058(10)/1.086(10)/-1.012(10)/-1.031(10)/-1.061(10)/-1.017(9)
56	train_features.csv	g-52	float64	23814	13296	0	-6.913	10.0	0.0(55)/0.3372(21)/-0.3372(18)/0.6745(13)/0.0556(11)/1.008(10)/-0.2307(10)/1.171(10)/0.2617(9)/0.3582(9)
57	train_features.csv	g-53	float64	23814	14137	0	-5.465	10.0	0.0(26)/0.6745(16)/0.3372(13)/-0.3372(12)/-1.039(11)/1.067(11)/5.0(11)/-1.091(10)/-1.065(10)/1.036(9)
58	train_features.csv	g-54	float64	23814	13038	0	-5.072	10.0	0.0(102)/-0.3372(44)/-0.6745(20)/5.0(16)/-0.2277(11)/-0.01(11)/1.16(11)/1.053(11)/0.3372(11)/0.0833(11)
59	train_features.csv	g-55	float64	23814	13670	0	-10.0	3.373	0.0(53)/0.3372(30)/-0.3372(24)/-10.0(18)/0.6745(15)/-1.022(11)/-0.0493(11)/1.002(10)/1.033(9)/-1.049(9)
60	train_features.csv	g-56	float64	23814	14265	0	-10.0	4.911	0.0(15)/1.104(11)/1.1(9)/-1.325(9)/0.3372(9)/1.084(9)/1.312(9)/1.149(9)/1.005(8)/-10.0(8)
61	train_features.csv	g-57	float64	23814	14181	0	-10.0	10.0	10.0(17)/-0.3372(16)/0.0(13)/1.157(12)/1.01(11)/1.197(10)/1.11(9)/1.152(9)/1.054(9)/1.03(8)
62	train_features.csv	g-58	float64	23814	13571	0	-10.0	5.311	-10.0(180)/0.0(78)/0.3372(48)/-0.3372(16)/0.6745(12)/0.2495(12)/1.025(12)/0.3544(11)/0.5145(11)/-0.0576(11)
63	train_features.csv	g-59	float64	23814	14398	0	-10.0	10.0	0.0(14)/1.022(11)/0.0654(11)/-1.112(10)/1.028(10)/-10.0(10)/1.002(9)/-1.048(9)/-1.035(8)/-0.0464(8)
64	train_features.csv	g-60	float64	23814	14017	0	-10.0	10.0	0.0(12)/-1.002(12)/-1.06(11)/-1.04(10)/-1.056(10)/1.079(10)/1.094(10)/-1.016(10)/-1.058(9)/1.076(9)
65	train_features.csv	g-61	float64	23814	14129	0	-10.0	3.563	1.048(10)/-10.0(10)/-1.21(10)/1.161(9)/1.238(9)/-1.007(9)/-0.3372(9)/-1.03(9)/-1.026(9)/1.02(9)
66	train_features.csv	g-62	float64	23814	14432	0	-10.0	10.0	-10.0(61)/0.0(34)/1.152(12)/1.12(11)/1.131(11)/0.3372(10)/0.3424(10)/-1.106(9)/1.13(9)/1.156(9)
67	train_features.csv	g-63	float64	23814	14612	0	-10.0	4.886	-10.0(70)/0.0(12)/-1.059(11)/1.067(10)/1.065(10)/1.086(9)/0.1046(9)/0.2962(8)/1.021(8)/0.2404(8)
68	train_features.csv	g-64	float64	23814	13790	0	-5.978	10.0	0.0(27)/-0.3372(14)/1.15(12)/1.004(11)/-1.037(10)/0.3372(10)/1.261(10)/1.058(10)/-1.113(9)/-1.013(9)
69	train_features.csv	g-65	float64	23814	14545	0	-6.319	10.0	-1.054(12)/-1.079(9)/0.0(9)/-1.373(8)/-1.09(8)/1.448(8)/-0.2871(8)/-1.009(8)/-1.067(8)/-1.186(8)
70	train_features.csv	g-66	float64	23814	13637	0	-10.0	5.521	0.0(46)/-1.02(11)/-0.3372(10)/1.214(9)/-1.067(9)/1.122(9)/0.1933(9)/-1.226(9)/-1.071(9)/1.036(9)
71	train_features.csv	g-67	float64	23814	14239	0	-10.0	4.695	-10.0(457)/0.0(14)/1.049(11)/1.179(9)/1.141(9)/0.0112(8)/-1.13(8)/1.293(8)/1.149(8)/0.1461(8)
72	train_features.csv	g-68	float64	23814	13829	0	-4.958	10.0	0.0(42)/-0.3372(22)/0.3372(13)/-1.245(12)/-1.081(10)/-1.027(10)/-1.194(9)/-1.133(9)/-1.232(9)/-0.42(8)
73	train_features.csv	g-69	float64	23814	14027	0	-6.962	10.0	0.0(28)/1.044(11)/1.63(10)/1.654(10)/2.019(9)/1.089(9)/1.066(9)/1.378(9)/1.106(9)/1.176(9)
74	train_features.csv	g-70	float64	23814	14317	0	-7.992	6.541	1.145(10)/1.054(10)/1.051(9)/1.075(9)/1.1(9)/1.133(9)/1.04(9)/1.004(9)/1.12(9)/-1.025(9)
75	train_features.csv	g-71	float64	23814	13999	0	-10.0	4.584	0.0(16)/-1.077(11)/-1.108(11)/0.3372(10)/-1.045(9)/-0.0233(9)/-1.188(9)/-1.036(9)/-1.043(9)/-1.159(8)
76	train_features.csv	g-72	float64	23814	14852	0	-10.0	7.28	-10.0(152)/0.0(17)/1.0(9)/0.3589(9)/1.002(9)/-1.145(9)/1.039(9)/1.156(8)/1.171(8)/1.043(8)
77	train_features.csv	g-73	float64	23814	13991	0	-5.27	6.94	-1.145(11)/-1.231(11)/-1.063(10)/0.3372(10)/-1.061(10)/-1.044(10)/0.0(10)/-1.032(9)/-1.093(9)/-1.013(9)
78	train_features.csv	g-74	float64	23814	14263	0	-5.479	10.0	10.0(75)/0.0(22)/-0.3372(21)/1.094(11)/-1.051(10)/-1.095(10)/-1.067(9)/-0.6745(8)/1.022(8)/1.073(8)
79	train_features.csv	g-75	float64	23814	14752	0	-10.0	8.835	-10.0(377)/0.0(11)/1.012(10)/1.078(9)/-1.07(9)/1.067(9)/1.007(9)/1.063(8)/-1.111(8)/-0.3343(8)
80	train_features.csv	g-76	float64	23814	13902	0	-10.0	8.209	0.0(17)/1.033(12)/1.055(11)/0.3372(10)/1.096(10)/1.117(10)/-1.048(10)/-1.052(9)/-0.5375(9)/-1.019(9)
81	train_features.csv	g-77	float64	23814	13786	0	-10.0	4.55	0.0(29)/0.3372(13)/-1.019(11)/-1.018(11)/1.102(10)/-1.086(10)/-1.016(10)/-0.0221(9)/-1.181(9)/-1.172(9)
82	train_features.csv	g-78	float64	23814	13283	0	-10.0	5.416	0.0(56)/-0.3372(15)/0.3372(14)/0.0702(11)/1.105(10)/0.1143(9)/1.168(9)/-1.147(9)/-1.075(9)/0.1885(9)
83	train_features.csv	g-79	float64	23814	14037	0	-8.61	9.725	0.0(24)/1.155(11)/-0.3372(11)/1.091(11)/1.027(10)/-1.049(10)/1.061(10)/-1.097(10)/-1.003(9)/-1.158(9)
84	train_features.csv	g-80	float64	23814	14140	0	-10.0	6.585	0.0(19)/1.088(13)/1.026(11)/-1.034(10)/1.254(10)/-1.138(10)/0.3372(9)/-1.043(9)/1.049(9)/1.121(9)
