number,value,datetime_start,datetime_complete,duration,params_Na,params_gamma,params_lambda_sparse,state
0,,2020-11-26 17:31:27.743484,,,1024,1.2,0.001,RUNNING
1,0.01688475023185047,2020-11-26 17:38:44.606320,2020-11-26 17:47:36.133243,0 days 00:08:51.526923,1024,1.2,0.001,COMPLETE
2,0.016993806242188377,2020-11-26 17:47:36.157179,2020-11-26 17:55:08.594314,0 days 00:07:32.437135,768,1.0,1e-06,COMPLETE
3,0.018693002549887698,2020-11-26 17:55:08.617253,2020-11-26 18:00:34.081434,0 days 00:05:25.464181,128,1.2,0.0,COMPLETE
4,0.016829526771169202,2020-11-26 18:00:34.106106,2020-11-26 18:14:01.709002,0 days 00:13:27.602896,1536,1.2,0.01,COMPLETE
5,0.017188171332174488,2020-11-26 18:14:01.730704,2020-11-26 18:21:12.018716,0 days 00:07:10.288012,512,1.0,1e-06,COMPLETE
6,0.017188171332174488,2020-11-26 18:21:12.041654,2020-11-26 18:27:58.342898,0 days 00:06:46.301244,512,1.0,0.1,COMPLETE
7,0.01688475023185047,2020-11-26 18:27:58.374788,2020-11-26 18:37:06.682283,0 days 00:09:08.307495,1024,1.0,0.001,COMPLETE
8,0.016829526771169202,2020-11-26 18:37:06.716215,2020-11-26 18:50:54.459102,0 days 00:13:47.742887,1536,1.5,0.01,COMPLETE
9,0.01688475023185047,2020-11-26 18:50:54.482067,2020-11-26 18:59:54.998842,0 days 00:09:00.516775,1024,1.5,0.0001,COMPLETE
10,0.01818966561590267,2020-11-26 18:59:55.037888,2020-11-26 19:05:32.642219,0 days 00:05:37.604331,256,2.0,1e-06,COMPLETE
11,0.016777214079176105,2020-11-26 19:05:32.669148,2020-11-26 19:32:46.782377,0 days 00:27:14.113229,2048,1.2,0.01,COMPLETE
12,0.016777214079176105,2020-11-26 19:32:46.813620,2020-11-26 20:27:52.495047,0 days 00:55:05.681427,2048,1.2,0.01,COMPLETE
13,0.016777214079176105,2020-11-26 20:27:52.520952,2020-11-26 21:17:15.797936,0 days 00:49:23.276984,2048,1.2,0.01,COMPLETE
14,0.016777214079176105,2020-11-26 21:17:15.822309,2020-11-26 22:10:33.785136,0 days 00:53:17.962827,2048,1.2,0.01,COMPLETE
15,0.016777214079176105,2020-11-26 22:10:33.810069,2020-11-26 23:03:33.591497,0 days 00:52:59.781428,2048,1.2,0.01,COMPLETE
16,0.016777214079176105,2020-11-26 23:03:33.652335,2020-11-26 23:49:45.588667,0 days 00:46:11.936332,2048,2.0,0.1,COMPLETE
17,0.016777214079176105,2020-11-26 23:49:45.614597,2020-11-27 00:31:18.813535,0 days 00:41:33.198938,2048,1.2,0.01,COMPLETE
18,0.018693002549887698,2020-11-27 00:31:18.841441,2020-11-27 00:36:33.126570,0 days 00:05:14.285129,128,1.2,0.0,COMPLETE
19,0.016777214079176105,2020-11-27 00:36:33.152501,2020-11-27 00:51:19.144835,0 days 00:14:45.992334,2048,2.0,0.1,COMPLETE
20,0.01818966561590267,2020-11-27 00:51:19.169768,2020-11-27 00:56:40.205693,0 days 00:05:21.035925,256,2.0,0.1,COMPLETE
21,0.016993806242188377,2020-11-27 00:56:40.237628,2020-11-27 01:03:05.872904,0 days 00:06:25.635276,768,2.0,0.0001,COMPLETE
22,0.016777214079176105,2020-11-27 01:03:05.905817,2020-11-27 01:17:39.536697,0 days 00:14:33.630880,2048,2.0,0.1,COMPLETE
23,0.016777214079176105,2020-11-27 01:17:39.563625,2020-11-27 01:32:14.847783,0 days 00:14:35.284158,2048,2.0,0.01,COMPLETE
24,0.016777214079176105,2020-11-27 01:32:14.883688,2020-11-27 01:46:38.623032,0 days 00:14:23.739344,2048,1.2,0.1,COMPLETE
25,0.016777214079176105,2020-11-27 01:46:38.695836,2020-11-27 02:01:10.972240,0 days 00:14:32.276404,2048,2.0,0.1,COMPLETE
26,0.016777214079176105,2020-11-27 02:01:11.000166,2020-11-27 02:15:52.578030,0 days 00:14:41.577864,2048,2.0,0.01,COMPLETE
27,0.016777214079176105,2020-11-27 02:15:52.602963,2020-11-27 02:30:48.314306,0 days 00:14:55.711343,2048,1.5,0.01,COMPLETE
28,0.016993806242188377,2020-11-27 02:30:48.342232,2020-11-27 02:37:21.310577,0 days 00:06:32.968345,768,1.2,0.1,COMPLETE
29,0.01818966561590267,2020-11-27 02:37:21.334513,2020-11-27 02:42:48.739128,0 days 00:05:27.404615,256,2.0,0.0,COMPLETE
30,0.016829526771169202,2020-11-27 02:42:48.764062,2020-11-27 02:53:36.915741,0 days 00:10:48.151679,1536,1.5,0.001,COMPLETE
