number,value,datetime_start,datetime_complete,duration,params_Na,params_batch_momentum,params_gamma,params_lambda_sparse,params_norm_type,params_num_groups,state
0,0.019934044490522478,2020-11-25 22:16:15.985808,2020-11-25 22:23:21.497115,0 days 00:07:05.511307,32.0,0.95,1.0,1e-06,batch,-1.0,COMPLETE
1,0.020245078962073327,2020-11-25 22:23:21.526038,2020-11-25 22:30:34.017451,0 days 00:07:12.491413,64.0,0.95,1.0,1e-06,batch,-1.0,COMPLETE
2,0.0203682498236843,2020-11-25 22:30:34.043382,2020-11-25 22:38:03.689085,0 days 00:07:29.645703,64.0,0.95,1.5,0.0001,group,1.0,COMPLETE
3,0.020260703724945105,2020-11-25 22:38:03.710030,2020-11-25 22:45:13.750563,0 days 00:07:10.040533,64.0,0.98,1.5,0.001,batch,4.0,COMPLETE
4,0.02037026143131802,2020-11-25 22:45:13.774500,2020-11-25 22:52:36.648297,0 days 00:07:22.873797,16.0,0.98,1.2,0.01,group,2.0,COMPLETE
5,0.01978011230296955,2020-11-25 22:52:36.673231,2020-11-25 22:59:40.015458,0 days 00:07:03.342227,16.0,0.95,1.5,0.1,batch,-1.0,COMPLETE
6,0.01978011230296955,2020-11-25 22:59:40.040392,2020-11-25 23:06:47.807697,0 days 00:07:07.767305,16.0,0.95,2.0,1e-06,batch,5.0,COMPLETE
7,0.020563065193155896,2020-11-25 23:06:47.834625,2020-11-25 23:14:33.934891,0 days 00:07:46.100266,128.0,0.9,1.2,0.0,group,-1.0,COMPLETE
8,0.019793368257870564,2020-11-25 23:14:33.961819,2020-11-25 23:21:37.180924,0 days 00:07:03.219105,16.0,0.98,1.0,0.1,batch,3.0,COMPLETE
9,0.019934044490522478,2020-11-25 23:21:37.205857,2020-11-25 23:28:50.438134,0 days 00:07:13.232277,32.0,0.95,1.0,1e-06,batch,-1.0,COMPLETE
10,0.02020942632129812,2020-11-25 23:28:50.469051,2020-11-25 23:35:44.264528,0 days 00:06:53.795477,8.0,0.9,1.5,0.1,batch,2.0,COMPLETE
11,0.019905105024646923,2020-11-25 23:35:44.288464,2020-11-25 23:42:41.942034,0 days 00:06:57.653570,24.0,0.95,2.0,0.1,batch,5.0,COMPLETE
12,0.01978011230296955,2020-11-25 23:42:41.971954,2020-11-25 23:49:43.934222,0 days 00:07:01.962268,16.0,0.95,2.0,0.001,batch,5.0,COMPLETE
13,0.01978011230296955,2020-11-25 23:49:43.957160,2020-11-25 23:56:45.542277,0 days 00:07:01.585117,16.0,0.95,2.0,0.0,batch,5.0,COMPLETE
14,0.01978011230296955,2020-11-25 23:56:45.567211,2020-11-26 00:03:44.055929,0 days 00:06:58.488718,16.0,0.95,2.0,0.0001,batch,4.0,COMPLETE
15,0.01990586651445863,2020-11-26 00:03:44.084852,2020-11-26 00:10:45.279047,0 days 00:07:01.194195,24.0,0.9,1.5,0.01,batch,3.0,COMPLETE
16,0.01978011230296955,2020-11-26 00:10:45.300989,2020-11-26 00:17:50.190511,0 days 00:07:04.889522,16.0,0.95,2.0,0.1,batch,1.0,COMPLETE
17,0.020563065193155896,2020-11-26 00:17:50.211455,2020-11-26 00:25:45.654906,0 days 00:07:55.443451,128.0,0.95,2.0,0.0001,group,1.0,COMPLETE
