number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,state
0,0.01611367118843353,2020-11-25 20:53:55.602356,2020-11-25 21:00:13.531370,0 days 00:06:17.929014,elu,"[960, 1159, 1811]",0.6762595947537264,0.10009149985387591,0.3418660581054718,0.21740471265369044,COMPLETE
1,0.01626734726356952,2020-11-25 21:00:13.560293,2020-11-25 21:06:40.422977,0 days 00:06:26.862684,relu,"[1024, 896, 768]",0.24900816910213674,0.3764485816344382,0.41741397938453595,0.5310533872026856,COMPLETE
2,0.01636096992223672,2020-11-25 21:06:40.449904,2020-11-25 21:13:37.313184,0 days 00:06:56.863280,selu,"[1024, 1024, 1024]",0.6481756003174076,0.263561799785214,0.8024939491127564,0.12191007455834094,COMPLETE
3,0.01607714872196535,2020-11-25 21:13:37.338257,2020-11-25 21:20:00.003661,0 days 00:06:22.665404,selu,"[512, 512, 512]",0.4338438418937016,0.5469518627566013,0.21230955087618703,0.25848119126790303,COMPLETE
4,0.01731700286169668,2020-11-25 21:20:00.029593,2020-11-25 21:27:27.125407,0 days 00:07:27.095814,elu,"[1159, 960, 1811]",0.874609260575518,0.35073934252739425,0.6538580925354512,0.8011113218368306,COMPLETE
5,0.016239571768819815,2020-11-25 21:27:27.153332,2020-11-25 21:34:07.553376,0 days 00:06:40.400044,relu,"[1024, 896, 768]",0.16803536909582234,0.1312438265863059,0.23586433565165513,0.8025140027435306,COMPLETE
6,0.01659075941046663,2020-11-25 21:34:07.581302,2020-11-25 21:41:47.985244,0 days 00:07:40.403942,selu,"[1024, 1536, 768]",0.4368861000040417,0.8663116241204015,0.5265322279784137,0.6535016911603787,COMPLETE
7,0.016514608061815986,2020-11-25 21:41:48.010177,2020-11-25 21:51:15.129329,0 days 00:09:27.119152,elu,"[960, 1159, 1811]",0.6492007421452669,0.7677005375178984,0.11463062187535344,0.700115451955974,COMPLETE
8,0.016177092975043616,2020-11-25 21:51:15.157255,2020-11-25 21:58:37.399667,0 days 00:07:22.242412,relu,"[512, 512, 512]",0.3387962358024358,0.4569076048688848,0.2776996380282999,0.15869133739407967,COMPLETE
9,0.015959713488401885,2020-11-25 21:58:37.427593,2020-11-25 22:07:55.572697,0 days 00:09:18.145104,selu,"[1159, 960, 1811]",0.17693780835636935,0.8226961331830939,0.19559237438457347,0.5198395014963565,COMPLETE
10,0.015912168995971053,2020-11-25 22:07:55.602618,2020-11-25 22:17:46.973842,0 days 00:09:51.371224,selu,"[1159, 960, 1811]",0.10725714625745598,0.6530120958331695,0.5338045626843452,0.38884219450878926,COMPLETE
11,0.015938830009684404,2020-11-25 22:17:47.004760,2020-11-25 22:28:39.470271,0 days 00:10:52.465511,selu,"[1159, 960, 1811]",0.11448193086126224,0.6578054227060285,0.5495586722053286,0.38900248500373663,COMPLETE
12,0.015952201747141022,2020-11-25 22:28:39.503183,2020-11-25 22:39:34.605553,0 days 00:10:55.102370,selu,"[1159, 960, 1811]",0.10349714285992917,0.6458139133924812,0.603582976220065,0.38237554711604943,COMPLETE
13,0.016060419049660307,2020-11-25 22:39:34.632482,2020-11-25 22:51:02.851196,0 days 00:11:28.218714,selu,"[1159, 1811, 960]",0.10381372055918714,0.673765359256902,0.7579200091276619,0.3755431238308873,COMPLETE
14,0.015948838774253262,2020-11-25 22:51:02.883111,2020-11-25 23:06:34.319554,0 days 00:15:31.436443,selu,"[2560, 2048, 1524]",0.26965802772219527,0.6441388341082711,0.47936661081886883,0.37861590112806925,COMPLETE
15,0.0160547248101023,2020-11-25 23:06:34.344488,2020-11-25 23:16:41.180708,0 days 00:10:06.836220,selu,"[1024, 768, 1536]",0.315318277002416,0.5569217856978451,0.6611805801834946,0.4356167020572448,COMPLETE
16,0.015905883358529705,2020-11-25 23:16:41.206639,2020-11-25 23:30:36.347764,0 days 00:13:55.141125,selu,"[2048, 1792, 1536]",0.10539462916094167,0.7625442452841066,0.5390689714904922,0.25310796352847287,COMPLETE
17,0.016787315161763777,2020-11-25 23:30:36.372698,2020-11-25 23:44:20.569884,0 days 00:13:44.197186,selu,"[2048, 1792, 1536]",0.5495457184115455,0.7701577679169204,0.8938132988094274,0.2682528841902573,COMPLETE
18,0.016202629463549653,2020-11-25 23:44:20.611772,2020-11-25 23:58:18.385159,0 days 00:13:57.773387,selu,"[2048, 1792, 1536]",0.20687843062967193,0.8883064310825709,0.41605399145609134,0.28759816880794825,COMPLETE
19,0.017515943524964755,2020-11-25 23:58:18.415080,2020-11-26 00:12:07.033511,0 days 00:13:48.618431,elu,"[2048, 1792, 1536]",0.8880411082938224,0.7305784621493969,0.7217669544755989,0.6127710151700835,COMPLETE
20,0.015969427996663864,2020-11-26 00:12:07.063431,2020-11-26 00:26:20.874014,0 days 00:14:13.810583,relu,"[2048, 1792, 1536]",0.3813783787597859,0.4908160921043043,0.4258879643887869,0.10051355135465967,COMPLETE
21,0.01609956894557787,2020-11-26 00:26:20.902936,2020-11-26 00:34:57.060559,0 days 00:08:36.157623,selu,"[512, 448, 384]",0.11310044010460582,0.6001197418566242,0.5547278327345362,0.32780559544025517,COMPLETE
22,0.016004772561082185,2020-11-26 00:34:57.090480,2020-11-26 00:44:25.419540,0 days 00:09:28.329060,selu,"[512, 768, 1536]",0.1042591099785847,0.706728754137303,0.5853418823556611,0.4738592896138783,COMPLETE
23,0.01593232057211227,2020-11-26 00:44:25.456504,2020-11-26 00:55:18.048478,0 days 00:10:52.591974,selu,"[1159, 960, 1811]",0.16978136289893914,0.5825062950993689,0.476833540449556,0.20657130253399297,COMPLETE
24,0.016168847972871707,2020-11-26 00:55:18.081390,2020-11-26 01:06:20.498363,0 days 00:11:02.416973,selu,"[1159, 960, 1811]",0.1998404834468509,0.8162760592922719,0.48994201739258514,0.16976547056216923,COMPLETE
25,0.0159515514729822,2020-11-26 01:06:20.530278,2020-11-26 01:16:55.659870,0 days 00:10:35.129592,selu,"[1024, 1536, 768]",0.26964742744077924,0.5796871145674023,0.3502912626671104,0.2244158323896387,COMPLETE
26,0.01593596774576434,2020-11-26 01:16:55.690787,2020-11-26 01:27:19.823182,0 days 00:10:24.132395,selu,"[1024, 768, 1536]",0.16166649672786026,0.47109353519993047,0.6542544383544869,0.31739415624561307,COMPLETE
27,0.015920548245614747,2020-11-26 01:27:19.856094,2020-11-26 01:43:02.807684,0 days 00:15:42.951590,selu,"[2560, 2048, 1524]",0.23100644700944906,0.7308917662127801,0.47129999606066064,0.1780921395744186,COMPLETE
28,0.016035799978565697,2020-11-26 01:43:02.837606,2020-11-26 01:58:59.849951,0 days 00:15:57.012345,selu,"[2560, 2048, 1524]",0.3185745609209606,0.8094787367102182,0.35070143344538907,0.10725351270684652,COMPLETE
29,0.01624203132110532,2020-11-26 01:58:59.879871,2020-11-26 02:14:58.516790,0 days 00:15:58.636919,elu,"[2560, 2048, 1524]",0.5804808530138525,0.7273406753907542,0.6092539202627203,0.22333641457602577,COMPLETE
30,0.01674185277183191,2020-11-26 02:14:58.553692,2020-11-26 02:31:01.110746,0 days 00:16:02.557054,selu,"[2560, 2048, 1524]",0.7498560277401289,0.8718788387017675,0.44188663927370564,0.4600341901262225,COMPLETE
31,0.01599737983625543,2020-11-26 02:31:01.145653,2020-11-26 02:42:26.990642,0 days 00:11:25.844989,selu,"[1159, 960, 1811]",0.2301170219325709,0.6082687955519179,0.48522343205722973,0.17342451009148277,COMPLETE
32,0.015891592588364818,2020-11-26 02:42:27.022557,2020-11-26 02:52:26.328939,0 days 00:09:59.306382,selu,"[1024, 1024, 1024]",0.12742511520132901,0.5367078212868925,0.3914765737655165,0.20302740274780187,COMPLETE
33,0.015908088912534986,2020-11-26 02:52:26.365841,2020-11-26 03:02:35.388914,0 days 00:10:09.023073,selu,"[1024, 1024, 1024]",0.13910186678884073,0.41474140989220454,0.3770383437896805,0.3209888531710194,COMPLETE
34,0.015908068982991158,2020-11-26 03:02:35.415842,2020-11-26 03:12:33.163527,0 days 00:09:57.747685,selu,"[1024, 1024, 1024]",0.1441003121411412,0.4074820010883471,0.29852946474735204,0.3263448841821159,COMPLETE
35,0.0159369850741349,2020-11-26 03:12:33.190455,2020-11-26 03:22:44.111864,0 days 00:10:10.921409,relu,"[1024, 1024, 1024]",0.14737130607475157,0.3721481422946772,0.30409045766320025,0.30437135975619817,COMPLETE
36,0.01592303873863994,2020-11-26 03:22:44.142782,2020-11-26 03:32:50.332168,0 days 00:10:06.189386,selu,"[1024, 1024, 1024]",0.26537222210933564,0.29710693353969747,0.37507545397095216,0.2469092318183681,COMPLETE
37,0.015942143649693718,2020-11-26 03:32:50.364083,2020-11-26 03:43:05.948883,0 days 00:10:15.584800,selu,"[1024, 1024, 1024]",0.14182919310042774,0.4254091643549465,0.28475659052637853,0.13580589969392654,COMPLETE
38,0.01602004839228693,2020-11-26 03:43:05.976808,2020-11-26 03:53:09.923233,0 days 00:10:03.946425,elu,"[1024, 1024, 1024]",0.42473691850317813,0.1811401503520924,0.15470310252064567,0.5656346804866115,COMPLETE
39,0.016727003369607002,2020-11-26 03:53:09.952156,2020-11-26 04:03:25.418631,0 days 00:10:15.466475,relu,"[1024, 1024, 1024]",0.7254140396435402,0.32910013525216114,0.3951980398425686,0.3325322140135747,COMPLETE
40,0.01634341240864046,2020-11-26 04:03:25.449634,2020-11-26 04:13:12.168091,0 days 00:09:46.718457,selu,"[1024, 1024, 1024]",0.2002486136369444,0.4160321136195879,0.32696649518949283,0.8828182639758562,COMPLETE
41,0.015950074500337176,2020-11-26 04:13:12.201999,2020-11-26 04:22:27.349353,0 days 00:09:15.147354,selu,"[1024, 896, 768]",0.1315210013287004,0.5189994640212099,0.3802739940382807,0.4186517961862012,COMPLETE
42,0.0159188685506682,2020-11-26 04:22:27.388249,2020-11-26 04:38:28.253134,0 days 00:16:00.864885,selu,"[960, 1159, 1811]",0.10475049558269235,0.5233706060423627,0.5288914708033181,0.34440614614576526,COMPLETE
43,0.01589701400911376,2020-11-26 04:38:28.582255,2020-11-26 05:01:36.326786,0 days 00:23:07.744531,selu,"[1024, 1024, 1024]",0.17927657283295279,0.42193657851720046,0.25256802751499074,0.26528060620762833,COMPLETE
44,0.015933660596573307,2020-11-26 05:01:36.944136,2020-11-26 06:04:27.212996,0 days 01:02:50.268860,selu,"[1024, 1024, 1024]",0.18649408798467781,0.24384425952412483,0.23310304205492943,0.2643147029705102,COMPLETE
45,0.015926883885319133,2020-11-26 06:04:28.185396,2020-11-26 08:13:44.379097,0 days 02:09:16.193701,selu,"[1024, 1024, 1024]",0.2410271809159858,0.4235142751282992,0.24941397680175012,0.19787835242513868,COMPLETE
46,0.01594656990051013,2020-11-26 08:13:45.669647,2020-11-26 09:53:16.623988,0 days 01:39:30.954341,selu,"[512, 512, 512]",0.2902655629785497,0.3284398184715839,0.18467065670012123,0.2483804217406644,COMPLETE
47,0.01594027148183287,2020-11-26 09:53:17.916532,2020-11-26 12:06:13.931161,0 days 02:12:56.014629,selu,"[1024, 1024, 1024]",0.15223774662196288,0.39309633995695237,0.27533319597447864,0.14130399697866533,COMPLETE
48,0.015995953805974895,2020-11-26 12:06:15.118986,2020-11-26 14:24:00.991718,0 days 02:17:45.872732,selu,"[1159, 1811, 960]",0.3845779105083454,0.26512391382255374,0.32054221684441664,0.4238390939381024,COMPLETE
49,,2020-11-26 14:24:02.510729,,,,,,,,,RUNNING
