number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,state
0,0.0178995135718381,2020-11-24 15:26:00.554246,2020-11-24 15:31:48.378238,0 days 00:05:47.823992,elu,"[512, 768, 1536, 1792]",0.20006862489040694,0.3813995435791039,0.2880535344902678,0.2554031568612787,0.3117561268266026,COMPLETE
1,0.018772888073864905,2020-11-24 15:31:48.402174,2020-11-24 15:37:25.124676,0 days 00:05:36.722502,elu,"[1024, 768, 1536, 1792]",0.7613234424836193,0.7077865500116103,0.3879641101593651,0.5147288957437228,0.46607173626773407,COMPLETE
2,0.0177103521085204,2020-11-24 15:37:25.147615,2020-11-24 15:43:28.673194,0 days 00:06:03.525579,relu,"[2048, 1792, 1536, 1280]",0.7483772147475398,0.47432288479219303,0.4584191403108251,0.7634766736541756,0.6670335418019202,COMPLETE
3,0.01802534254547403,2020-11-24 15:43:28.697131,2020-11-24 15:49:07.147811,0 days 00:05:38.450680,elu,"[512, 1536, 768, 512]",0.681654502362419,0.25568048518444275,0.5108915293651335,0.7190121511873901,0.6974881444202851,COMPLETE
4,0.017088356298158292,2020-11-24 15:49:07.172782,2020-11-24 15:56:05.204732,0 days 00:06:58.031950,relu,"[2560, 2048, 1524, 1012]",0.30189825173874135,0.7268855020576479,0.25900810029983007,0.45266457500303137,0.7747337180903013,COMPLETE
5,0.01812697956713818,2020-11-24 15:56:05.229666,2020-11-24 16:02:33.870616,0 days 00:06:28.640950,elu,"[2560, 2048, 1524, 1012]",0.6151262683702841,0.3893093786036378,0.6119005566089503,0.7007754031384239,0.21097296640651508,COMPLETE
6,0.0187061752397056,2020-11-24 16:02:33.893555,2020-11-24 16:08:43.518269,0 days 00:06:09.624714,elu,"[2048, 1792, 1536, 1280]",0.7933166533438969,0.6488993926279036,0.36826639523864313,0.6735675970708932,0.2619356039465852,COMPLETE
7,0.018761653055461125,2020-11-24 16:08:43.542205,2020-11-24 16:14:29.734886,0 days 00:05:46.192681,relu,"[1024, 768, 1536, 1792]",0.7451573018558575,0.37616848902420774,0.3726652031518093,0.2780171432709666,0.21162017472217826,COMPLETE
8,0.01801153775318454,2020-11-24 16:14:29.757825,2020-11-24 16:20:17.378374,0 days 00:05:47.620549,elu,"[1024, 768, 1536, 1792]",0.32697686960003547,0.3593279956233357,0.494943895568203,0.23201752707024825,0.5444705632952079,COMPLETE
9,0.017372257163022486,2020-11-24 16:20:17.404305,2020-11-24 16:25:23.008248,0 days 00:05:05.603943,elu,"[512, 448, 384, 320]",0.26140065729669554,0.44843359269174105,0.6166400946366472,0.44850756171614165,0.2299720753676523,COMPLETE
10,0.017651258988115554,2020-11-24 16:25:23.031186,2020-11-24 16:30:53.362467,0 days 00:05:30.331281,relu,"[1024, 1024, 1024, 1024]",0.42566839751934676,0.776255609685865,0.7830218365484739,0.4514835947007015,0.7965857743251362,COMPLETE
11,0.01694599476473361,2020-11-24 16:30:53.389422,2020-11-24 16:35:54.405141,0 days 00:05:01.015719,relu,"[512, 448, 384, 320]",0.20423876957309364,0.5803618555459668,0.6930075777302519,0.4345594889672457,0.41169835145315037,COMPLETE
12,0.01727011140399406,2020-11-24 16:35:54.431072,2020-11-24 16:40:56.377480,0 days 00:05:01.946408,relu,"[512, 448, 384, 320]",0.38204002253473185,0.5774241147061646,0.7388914888171724,0.569737175912736,0.40023770382753415,COMPLETE
13,0.017117107140179486,2020-11-24 16:40:56.403429,2020-11-24 16:47:25.266307,0 days 00:06:28.862878,relu,"[2560, 2048, 1524, 1012]",0.2018982713105127,0.6011684141553875,0.23026648225727003,0.35349183556741764,0.5688066774335752,COMPLETE
14,0.017833676312997232,2020-11-24 16:47:25.290267,2020-11-24 16:52:58.344287,0 days 00:05:33.054020,relu,"[1024, 1536, 768, 1792]",0.5166596915393373,0.7839655536774132,0.7065205646855415,0.36463087037874153,0.3799899346783993,COMPLETE
15,0.017438507177331582,2020-11-24 16:52:58.369220,2020-11-24 16:58:50.282228,0 days 00:05:51.913008,relu,"[1024, 896, 768, 640]",0.2752993033406783,0.6966901819390905,0.610410987063623,0.6001268494912315,0.7999189427240387,COMPLETE
16,0.01685144604762487,2020-11-24 16:58:50.305141,2020-11-24 17:04:26.598702,0 days 00:05:36.293561,relu,"[512, 512, 512, 512]",0.49940535787062906,0.54405433281706,0.21297044371807636,0.3771669029653676,0.4469533458827517,COMPLETE
17,0.016972995829634553,2020-11-24 17:04:26.624633,2020-11-24 17:09:51.641898,0 days 00:05:25.017265,relu,"[512, 512, 512, 512]",0.5367119804404392,0.5181651624728113,0.6754164847366179,0.3461264482444362,0.45113510823428427,COMPLETE
18,0.01704658397185062,2020-11-24 17:09:51.667828,2020-11-24 17:14:55.238951,0 days 00:05:03.571123,relu,"[512, 512, 512, 512]",0.4512276985638401,0.558158522367593,0.7902210659205698,0.3073338478929539,0.34069862660596123,COMPLETE
19,0.017370782728701836,2020-11-24 17:14:55.264908,2020-11-24 17:19:54.303639,0 days 00:04:59.038731,relu,"[512, 448, 384, 320]",0.5891915520241986,0.6366290714919383,0.5268030462627298,0.41709825691018587,0.5148354994799703,COMPLETE
