number,value,datetime_start,datetime_complete,duration,params_activation,params_dense0,params_dense1,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_sync_period,state
0,0.017415957583877116,2020-11-25 21:03:34.232830,2020-11-25 21:09:44.864950,0 days 00:06:10.632120,elu,747.0,1420.0,0.846045887470927,0.2024995583434854,0.8992324122593158,65.0,COMPLETE
1,0.016540121320750674,2020-11-25 21:09:44.889823,2020-11-25 21:15:47.393969,0 days 00:06:02.504146,relu,641.0,1484.0,0.410328592929606,0.635796829442784,0.8484312566448254,21.0,COMPLETE
2,0.016616577099786294,2020-11-25 21:15:47.416908,2020-11-25 21:21:56.819370,0 days 00:06:09.402462,selu,869.0,1426.0,0.5196385276582971,0.4547623150236454,0.2836617709838605,15.0,COMPLETE
3,0.016689386727366442,2020-11-25 21:21:56.840313,2020-11-25 21:28:01.633962,0 days 00:06:04.793649,selu,1092.0,727.0,0.4657638463895907,0.4445588537477668,0.8513022315389006,87.0,COMPLETE
4,0.016669619108834865,2020-11-25 21:28:01.666874,2020-11-25 21:34:01.671149,0 days 00:06:00.004275,elu,905.0,519.0,0.35073934252739425,0.6538580925354512,0.8011113218368306,61.0,COMPLETE
5,0.016049331422035608,2020-11-25 21:34:01.695085,2020-11-25 21:40:24.909664,0 days 00:06:23.214579,elu,776.0,1240.0,0.1312438265863059,0.23586433565165513,0.8025140027435306,31.0,COMPLETE
6,0.01654169773202128,2020-11-25 21:40:24.932753,2020-11-25 21:47:27.313932,0 days 00:07:02.381179,selu,1429.0,1073.0,0.5265322279784137,0.6535016911603787,0.3524125048048504,77.0,COMPLETE
7,0.016681330754148124,2020-11-25 21:47:27.336871,2020-11-25 21:54:25.833041,0 days 00:06:58.496170,selu,1332.0,848.0,0.11463062187535344,0.700115451955974,0.8910888711251957,69.0,COMPLETE
8,0.01691276673620721,2020-11-25 21:54:25.857974,2020-11-25 22:01:19.366698,0 days 00:06:53.508724,elu,879.0,1250.0,0.7314234627611909,0.18258080526211362,0.4583148209407242,10.0,COMPLETE
9,0.016179058315624332,2020-11-25 22:01:19.387642,2020-11-25 22:08:09.112166,0 days 00:06:49.724524,selu,791.0,893.0,0.20402285769462214,0.11549356629623767,0.6430684263519127,9.0,COMPLETE
10,0.016088094975059794,2020-11-25 22:08:09.133372,2020-11-25 22:15:35.772357,0 days 00:07:26.638985,elu,1124.0,1194.0,0.11608355254412267,0.3185831147748438,0.6530120958331695,38.0,COMPLETE
11,0.01612196505970662,2020-11-25 22:15:35.802276,2020-11-25 22:23:30.991734,0 days 00:07:55.189458,elu,1126.0,1188.0,0.10351260222175186,0.34064904186693734,0.65279101717676,39.0,COMPLETE
12,0.01614837843491428,2020-11-25 22:23:31.019660,2020-11-25 22:31:46.063751,0 days 00:08:15.044091,elu,1257.0,1264.0,0.2502075379187141,0.30886782964205084,0.6665775000175912,38.0,COMPLETE
13,0.016475310298089043,2020-11-25 22:31:46.094668,2020-11-25 22:39:20.461365,0 days 00:07:34.366697,relu,584.0,1098.0,0.1015507439979665,0.8862467476747502,0.11281134812158772,33.0,COMPLETE
14,0.016197015162209907,2020-11-25 22:39:20.488293,2020-11-25 22:47:32.897604,0 days 00:08:12.409311,elu,1038.0,1312.0,0.2555797977710934,0.2842522834933454,0.7471027229276067,48.0,COMPLETE
15,0.016528375467502833,2020-11-25 22:47:32.923535,2020-11-25 22:55:44.003434,0 days 00:08:11.079899,elu,1204.0,982.0,0.6227191914118089,0.11336353569386648,0.5493375005470975,29.0,COMPLETE
16,0.016194845967065014,2020-11-25 22:55:44.029366,2020-11-25 23:03:26.713334,0 days 00:07:42.683968,elu,516.0,1155.0,0.192371150929312,0.3674046916313508,0.5334097387561842,50.0,COMPLETE
17,0.016061393654779852,2020-11-25 23:03:26.740263,2020-11-25 23:11:35.112291,0 days 00:08:08.372028,relu,990.0,1344.0,0.3409016251944755,0.21327994146843648,0.7359120115360388,25.0,COMPLETE
18,0.016105830350688393,2020-11-25 23:11:35.136227,2020-11-25 23:19:37.328426,0 days 00:08:02.192199,relu,949.0,1351.0,0.3457545617184333,0.20771517480275276,0.7726596555127803,23.0,COMPLETE
19,0.01616317093836541,2020-11-25 23:19:37.352363,2020-11-25 23:27:46.643672,0 days 00:08:09.291309,relu,732.0,1487.0,0.3405104144984252,0.11547756314357516,0.7433815659669045,4.0,COMPLETE
20,0.016179642673589616,2020-11-25 23:27:46.668606,2020-11-25 23:35:30.313313,0 days 00:07:43.644707,relu,650.0,1389.0,0.27981021442694165,0.5023648433669645,0.45644732452005604,1.0,COMPLETE
21,0.0160702907746775,2020-11-25 23:35:30.334257,2020-11-25 23:43:21.675816,0 days 00:07:51.341559,elu,985.0,1204.0,0.1555571541960889,0.23963288690525913,0.6946483394253682,43.0,COMPLETE
22,0.01601045245392524,2020-11-25 23:43:21.705736,2020-11-25 23:51:23.020707,0 days 00:08:01.314971,relu,1010.0,1296.0,0.1787268614499082,0.24863352364882974,0.7107808463265745,48.0,COMPLETE
23,0.016117486806097474,2020-11-25 23:51:23.044644,2020-11-25 23:59:24.306934,0 days 00:08:01.262290,relu,1031.0,1321.0,0.29957246139100785,0.392253861185876,0.5865855987040531,55.0,COMPLETE
24,0.016098239414137787,2020-11-25 23:59:24.331867,2020-11-26 00:07:07.177680,0 days 00:07:42.845813,relu,820.0,1046.0,0.19058603812620337,0.16687045682978557,0.8332749164030597,27.0,COMPLETE
25,0.01616493554598803,2020-11-26 00:07:07.198624,2020-11-26 00:15:09.052189,0 days 00:08:01.853565,relu,967.0,1317.0,0.42399114703014557,0.2684855195432496,0.7174102053898475,21.0,COMPLETE
26,0.016158616836724808,2020-11-26 00:15:09.075128,2020-11-26 00:23:51.825466,0 days 00:08:42.750338,relu,1202.0,1487.0,0.23371112669751018,0.49411810190434,0.5881721082479462,54.0,COMPLETE
27,0.016037135018662052,2020-11-26 00:23:51.850399,2020-11-26 00:31:31.065286,0 days 00:07:39.214887,relu,698.0,974.0,0.16292407764193967,0.10445688385498036,0.7987736597581239,33.0,COMPLETE
28,0.01607386759862157,2020-11-26 00:31:31.090224,2020-11-26 00:39:00.126030,0 days 00:07:29.035806,relu,543.0,968.0,0.1562422640934934,0.15180037742085123,0.8032636134331854,45.0,COMPLETE
29,0.017952031276256896,2020-11-26 00:39:00.149966,2020-11-26 00:46:33.649139,0 days 00:07:33.499173,relu,662.0,800.0,0.8719724616483604,0.26464162815885395,0.8707563076161785,64.0,COMPLETE
30,0.01658094233087379,2020-11-26 00:46:33.679059,2020-11-26 00:54:07.204324,0 days 00:07:33.525265,relu,727.0,727.0,0.14945853251179342,0.4076187854982419,0.8942743769164014,34.0,COMPLETE
31,0.01612152135031853,2020-11-26 00:54:07.230254,2020-11-26 01:01:51.493294,0 days 00:07:44.263040,relu,774.0,1103.0,0.3071469921373749,0.23005313489486645,0.7869169392624726,16.0,COMPLETE
32,0.015993352721374237,2020-11-26 01:01:51.517230,2020-11-26 01:09:51.804639,0 days 00:08:00.287409,relu,834.0,1438.0,0.22102389961361607,0.16075908570790035,0.748514649359735,27.0,COMPLETE
