number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,params_drop_rate5,state
0,0.017940186879984485,2020-11-24 15:24:26.222455,2020-11-24 15:30:51.093410,0 days 00:06:24.870955,elu,"[512, 768, 1280, 1536, 1792]",0.20006862489040694,0.3813995435791039,0.2880535344902678,0.2554031568612787,0.3117561268266026,0.4073364362258287,COMPLETE
1,0.017597162766847897,2020-11-24 15:30:51.118343,2020-11-24 15:37:03.191661,0 days 00:06:12.073318,relu,"[512, 1536, 1280, 768, 512]",0.5232900404020142,0.4515167086419769,0.6111317002380557,0.3226713498389105,0.7268704618345674,0.2164325559187557,COMPLETE
2,0.01775540061111961,2020-11-24 15:37:03.215597,2020-11-24 15:43:22.737638,0 days 00:06:19.522041,relu,"[512, 512, 512, 512, 512]",0.4503828814202762,0.535213897067451,0.2842321631571403,0.3188608934509273,0.6804467412053221,0.7809569454316385,COMPLETE
3,0.01842857631814301,2020-11-24 15:43:22.762572,2020-11-24 15:49:53.663921,0 days 00:06:30.901349,elu,"[1024, 768, 1280, 1536, 1792]",0.5108915293651335,0.7190121511873901,0.6974881444202851,0.6977620156365103,0.36382998453004844,0.2355459207809381,COMPLETE
4,0.017690339743830222,2020-11-24 15:49:53.692845,2020-11-24 15:57:17.027011,0 days 00:07:23.334166,relu,"[1024, 1280, 1536, 768, 1792]",0.45266457500303137,0.7747337180903013,0.5198991709838103,0.6151262683702841,0.3893093786036378,0.6119005566089503,COMPLETE
5,0.018420838462980087,2020-11-24 15:57:17.064936,2020-11-24 16:03:50.949591,0 days 00:06:33.884655,relu,"[512, 448, 384, 320, 256]",0.21097296640651508,0.6500865889669806,0.7933166533438969,0.6488993926279036,0.36826639523864313,0.6735675970708932,COMPLETE
6,0.017664178421873674,2020-11-24 16:03:50.972530,2020-11-24 16:10:23.407485,0 days 00:06:32.434955,relu,"[512, 1536, 1280, 768, 512]",0.46873611570554313,0.7451573018558575,0.37616848902420774,0.3726652031518093,0.2780171432709666,0.21162017472217826,COMPLETE
7,0.0180628729844604,2020-11-24 16:10:23.435412,2020-11-24 16:17:09.482808,0 days 00:06:46.047396,elu,"[1024, 768, 1280, 1536, 1792]",0.32697686960003547,0.3593279956233357,0.494943895568203,0.23201752707024825,0.5444705632952079,0.2880371449434861,COMPLETE
8,0.017183627741517625,2020-11-24 16:17:09.506744,2020-11-24 16:22:56.518695,0 days 00:05:47.011951,relu,"[512, 448, 384, 320, 256]",0.26140065729669554,0.44843359269174105,0.6166400946366472,0.44850756171614165,0.2299720753676523,0.521537843549307,COMPLETE
9,0.017874215881973226,2020-11-24 16:22:56.544650,2020-11-24 16:29:06.207033,0 days 00:06:09.662383,relu,"[1024, 1024, 1024, 1024, 1024]",0.5089334672349852,0.7667568535944882,0.5519330243011958,0.7420411491727301,0.28248482248774254,0.28356580835045514,COMPLETE
10,0.01836719871112135,2020-11-24 16:29:06.232939,2020-11-24 16:34:44.390338,0 days 00:05:38.157399,relu,"[512, 448, 384, 320, 256]",0.7579892547597451,0.21334259638456832,0.7849266767143297,0.4802484003395468,0.5317984348996327,0.4833751282691052,COMPLETE
11,0.017437466226729034,2020-11-24 16:34:44.417291,2020-11-24 16:40:34.608279,0 days 00:05:50.190988,relu,"[1024, 896, 768, 640, 512]",0.6595441810119221,0.45863311604536494,0.6348463763060064,0.45839671099242585,0.7442807846865007,0.4161941522994754,COMPLETE
12,0.017761130688718423,2020-11-24 16:40:34.635234,2020-11-24 16:47:20.525791,0 days 00:06:45.890557,relu,"[1024, 896, 768, 640, 512]",0.7044668426539018,0.5429330258307102,0.6587922575408123,0.4906278030697202,0.7990348828164029,0.4212875059208558,COMPLETE
13,0.017669957997395985,2020-11-24 16:47:20.552719,2020-11-24 16:53:24.899590,0 days 00:06:04.346871,relu,"[1024, 896, 768, 640, 512]",0.6615373013627308,0.28816477014219594,0.7263000481238563,0.4210881070825494,0.6634057378610171,0.6057628381304984,COMPLETE
