number,value,datetime_start,datetime_complete,duration,params_activation0,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_activation7,params_dense0,params_dense1,params_dense2,params_dense3,params_dense4,params_dense5,params_drop_rate0,params_drop_rate1,state
93,0.015925398,48:01.5,53:37.5,0 days 00:05:36.073518,selu,selu,selu,selu,selu,selu,relu,selu,369,939,696,970,887,991,0.77729803,0.603312446,COMPLETE
91,0.015931207,39:26.7,43:43.1,0 days 00:04:16.401320,selu,selu,selu,selu,selu,selu,relu,selu,380,854,668,957,917,1004,0.711407948,0.578557258,COMPLETE
31,0.015937892,54:47.8,04:37.1,0 days 00:09:49.297471,selu,selu,selu,selu,selu,selu,relu,selu,263,431,362,952,935,1020,0.713236131,0.576033179,COMPLETE
99,0.015938134,30:57.7,37:59.7,0 days 00:07:02.034837,selu,selu,selu,selu,selu,selu,relu,selu,282,987,751,980,832,1023,0.718933397,0.500389542,COMPLETE
27,0.015938644,11:01.3,22:18.1,0 days 00:11:16.851282,selu,selu,selu,selu,selu,selu,relu,selu,406,462,645,789,964,1024,0.768690405,0.654493778,COMPLETE
25,0.015939198,49:15.0,00:10.7,0 days 00:10:55.672498,selu,selu,selu,selu,selu,elu,relu,elu,313,356,346,949,855,969,0.75093576,0.511677122,COMPLETE
71,0.015941859,06:52.2,11:22.2,0 days 00:04:30.011613,selu,selu,selu,selu,selu,elu,elu,selu,410,836,649,939,938,972,0.751724627,0.590227927,COMPLETE
63,0.015943829,20:06.2,27:38.9,0 days 00:07:32.689143,selu,selu,selu,selu,selu,elu,elu,selu,413,913,567,1006,870,902,0.702439532,0.591595108,COMPLETE
64,0.01594386,27:38.9,34:22.8,0 days 00:06:43.873156,selu,selu,selu,selu,selu,elu,elu,selu,494,833,558,1005,858,899,0.772112511,0.584708119,COMPLETE
61,0.015944446,05:50.8,13:02.4,0 days 00:07:11.565616,selu,selu,selu,selu,selu,elu,elu,selu,380,790,565,970,955,993,0.729396191,0.612029224,COMPLETE
79,0.015947122,41:47.9,49:49.9,0 days 00:08:01.936356,elu,selu,selu,selu,selu,elu,elu,selu,382,759,708,552,751,348,0.790116859,0.628453267,COMPLETE
66,0.015947347,40:22.2,46:47.5,0 days 00:06:25.354099,selu,selu,selu,selu,selu,elu,elu,selu,419,837,639,1020,859,956,0.766401608,0.614444624,COMPLETE
97,0.015950119,16:07.3,23:56.2,0 days 00:07:48.904499,selu,selu,elu,selu,selu,selu,relu,selu,344,785,716,970,930,996,0.704547394,0.643802883,COMPLETE
32,0.015953162,04:37.2,15:25.0,0 days 00:10:47.735829,selu,selu,selu,selu,selu,selu,relu,selu,388,449,641,940,929,1024,0.705960185,0.584313516,COMPLETE
102,0.015954053,52:03.7,58:30.1,0 days 00:06:26.404304,selu,selu,selu,selu,selu,selu,relu,selu,392,979,778,940,914,977,0.724461598,0.538039375,COMPLETE
13,0.015954812,52:50.9,59:45.6,0 days 00:06:54.746244,selu,relu,selu,selu,selu,elu,relu,elu,277,264,407,1007,792,1018,0.693748406,0.543747609,COMPLETE
54,0.015955801,20:42.6,27:21.9,0 days 00:06:39.275228,selu,selu,selu,selu,selu,elu,elu,selu,261,289,358,969,1011,921,0.696087727,0.638199123,COMPLETE
100,0.015956173,37:59.7,45:04.1,0 days 00:07:04.330370,selu,selu,selu,selu,selu,selu,relu,elu,299,956,754,989,833,1020,0.716238195,0.519533004,COMPLETE
98,0.015957017,23:56.3,30:57.6,0 days 00:07:01.344432,selu,selu,selu,elu,relu,selu,relu,relu,311,818,560,955,265,987,0.791946347,0.56269661,COMPLETE
48,0.015957782,41:10.7,48:23.4,0 days 00:07:12.686085,selu,selu,selu,selu,selu,selu,elu,selu,387,618,683,921,958,984,0.7278429,0.601152531,COMPLETE
94,0.01595824,53:37.6,01:19.6,0 days 00:07:42.061526,selu,selu,selu,selu,selu,selu,relu,selu,377,927,697,961,882,761,0.727367234,0.57619607,COMPLETE
57,0.015959167,40:06.1,46:32.7,0 days 00:06:26.654275,elu,relu,selu,selu,selu,elu,relu,selu,313,295,410,1022,768,951,0.663201561,0.550014134,COMPLETE
42,0.015961056,49:36.5,00:45.6,0 days 00:11:09.126638,selu,selu,selu,selu,selu,selu,relu,relu,375,386,546,899,847,1023,0.745874691,0.571619489,COMPLETE
74,0.015963748,19:57.3,24:24.6,0 days 00:04:27.267230,selu,selu,selu,selu,selu,elu,elu,selu,469,839,624,933,983,1001,0.735436791,0.612431893,COMPLETE
101,0.015964414,45:04.1,52:03.6,0 days 00:06:59.491150,selu,selu,selu,selu,selu,selu,relu,selu,279,897,688,976,896,1024,0.669327409,0.500244319,COMPLETE
95,0.015966092,01:19.7,08:30.5,0 days 00:07:10.820209,selu,selu,selu,selu,selu,selu,relu,selu,324,1022,667,916,609,266,0.747911536,0.601019263,COMPLETE
15,0.015966228,06:25.6,14:20.6,0 days 00:07:55.025960,selu,elu,selu,selu,selu,elu,relu,elu,258,258,374,1012,797,1007,0.737871899,0.55625093,COMPLETE
11,0.015967422,38:28.6,45:45.7,0 days 00:07:17.044056,selu,relu,selu,selu,selu,elu,relu,elu,309,315,317,958,729,965,0.683372126,0.501946965,COMPLETE
45,0.015969071,20:41.4,29:41.0,0 days 00:08:59.538741,selu,selu,selu,selu,selu,selu,relu,relu,261,470,298,952,836,869,0.706658273,0.514564684,COMPLETE
72,0.015971598,11:22.3,15:33.2,0 days 00:04:10.943894,selu,selu,selu,selu,selu,elu,elu,selu,410,844,648,330,941,959,0.808980515,0.560845237,COMPLETE
85,0.015974707,14:14.4,18:26.3,0 days 00:04:11.937211,elu,selu,selu,selu,selu,elu,elu,selu,406,904,574,571,972,973,0.722916005,0.612387935,COMPLETE
75,0.01597478,24:24.6,28:46.3,0 days 00:04:21.746693,selu,elu,selu,selu,selu,elu,elu,selu,433,732,731,843,913,908,0.770053218,0.597615814,COMPLETE
12,0.015974876,45:45.7,52:50.9,0 days 00:07:05.158113,selu,relu,selu,selu,selu,elu,relu,elu,267,353,498,980,730,979,0.695850142,0.50305802,COMPLETE
41,0.015975788,38:47.9,49:36.5,0 days 00:10:48.581320,selu,selu,selu,selu,selu,selu,relu,selu,295,344,432,979,935,1023,0.699766752,0.530964746,COMPLETE
88,0.015976341,26:44.5,31:03.3,0 days 00:04:18.800027,selu,elu,selu,relu,selu,relu,selu,selu,434,827,778,747,930,1005,0.756560514,0.627194265,COMPLETE
96,0.015976922,08:30.5,16:07.3,0 days 00:07:36.801012,selu,selu,selu,selu,selu,selu,relu,selu,359,941,733,933,991,575,0.780057775,0.583375022,COMPLETE
58,0.01597697,46:32.7,53:08.3,0 days 00:06:35.550495,selu,selu,selu,selu,selu,elu,relu,elu,257,421,329,871,1002,1021,0.641933359,0.669662931,COMPLETE
