number,value,datetime_start,datetime_complete,duration,params_Na,params_gamma,params_lambda_sparse,state
0,0.018900315669853476,2020-11-26 17:31:27.743484,2020-11-26 17:36:59.915977,0 days 00:05:32.172493,1024,1.2,0.001,COMPLETE
1,0.018723874071894894,2020-11-26 17:36:59.937226,2020-11-26 17:43:24.854528,0 days 00:06:24.917302,768,1.0,1e-06,COMPLETE
2,0.01904909150771326,2020-11-26 17:43:24.880459,2020-11-26 17:48:53.194738,0 days 00:05:28.314279,128,1.2,0.0,COMPLETE
3,0.018900315669853476,2020-11-26 17:49:30.702683,2020-11-26 17:58:31.011812,0 days 00:09:00.309129,1024,1.2,0.001,COMPLETE
4,0.018723874071894894,2020-11-26 17:58:31.032757,2020-11-26 18:06:54.047554,0 days 00:08:23.014797,768,1.0,1e-06,COMPLETE
5,0.01904909150771326,2020-11-26 18:06:54.070493,2020-11-26 18:12:48.666565,0 days 00:05:54.596072,128,1.2,0.0,COMPLETE
6,0.018849428416999797,2020-11-26 18:12:48.690501,2020-11-26 18:26:27.150208,0 days 00:13:38.459707,1536,1.2,0.01,COMPLETE
7,0.01892473813183059,2020-11-26 18:26:27.175141,2020-11-26 18:33:02.605894,0 days 00:06:35.430753,512,1.0,1e-06,COMPLETE
8,0.01892473813183059,2020-11-26 18:33:02.626839,2020-11-26 18:39:39.877112,0 days 00:06:37.250273,512,1.0,0.1,COMPLETE
9,0.018900315669853476,2020-11-26 18:39:39.932962,2020-11-26 18:50:02.451269,0 days 00:10:22.518307,1024,1.0,0.001,COMPLETE
10,0.01913855093592191,2020-11-26 18:50:02.475205,2020-11-26 18:55:52.061689,0 days 00:05:49.586484,256,1.5,0.0001,COMPLETE
11,0.018723874071894894,2020-11-26 18:55:52.084627,2020-11-26 19:03:36.611230,0 days 00:07:44.526603,768,2.0,1e-06,COMPLETE
12,0.018723874071894894,2020-11-26 19:03:36.634169,2020-11-26 19:12:25.754825,0 days 00:08:49.120656,768,1.0,1e-06,COMPLETE
13,0.018933343892418714,2020-11-26 19:12:25.770445,2020-11-26 19:38:14.845516,0 days 00:25:49.075071,2048,1.0,1e-06,COMPLETE
14,0.018723874071894894,2020-11-26 19:38:14.871404,2020-11-26 19:52:16.363274,0 days 00:14:01.491870,768,1.0,1e-06,COMPLETE
15,0.018723874071894894,2020-11-26 19:52:16.378894,2020-11-26 20:06:10.477576,0 days 00:13:54.098682,768,2.0,0.0001,COMPLETE
16,0.018723874071894894,2020-11-26 20:06:10.500505,2020-11-26 20:19:10.148017,0 days 00:12:59.647512,768,1.5,1e-06,COMPLETE
17,0.018849428416999797,2020-11-26 20:19:10.168987,2020-11-26 20:40:56.857743,0 days 00:21:46.688756,1536,1.5,0.1,COMPLETE
18,0.018723874071894894,2020-11-26 20:40:56.877688,2020-11-26 20:55:27.031353,0 days 00:14:30.153665,768,2.0,0.0001,COMPLETE
19,0.01913855093592191,2020-11-26 20:55:27.061273,2020-11-26 21:06:36.599002,0 days 00:11:09.537729,256,2.0,0.0001,COMPLETE
20,0.018933343892418714,2020-11-26 21:06:36.629922,2020-11-26 21:35:08.101889,0 days 00:28:31.471967,2048,1.5,0.01,COMPLETE
21,0.018723874071894894,2020-11-26 21:35:08.167713,2020-11-26 21:48:58.123839,0 days 00:13:49.956126,768,2.0,0.0001,COMPLETE
22,0.018723874071894894,2020-11-26 21:48:58.148773,2020-11-26 22:02:14.805150,0 days 00:13:16.656377,768,2.0,0.0001,COMPLETE
23,0.018723874071894894,2020-11-26 22:02:14.831080,2020-11-26 22:16:58.788818,0 days 00:14:43.957738,768,2.0,1e-06,COMPLETE
24,0.018723874071894894,2020-11-26 22:16:58.896530,2020-11-26 22:31:27.706348,0 days 00:14:28.809818,768,2.0,0.0001,COMPLETE
25,0.018723874071894894,2020-11-26 22:31:28.045002,2020-11-26 22:45:56.754213,0 days 00:14:28.709211,768,2.0,0.0001,COMPLETE
26,0.018723874071894894,2020-11-26 22:45:56.780145,2020-11-26 22:59:03.163286,0 days 00:13:06.383141,768,2.0,1e-06,COMPLETE
27,0.01892473813183059,2020-11-26 22:59:03.186225,2020-11-26 23:11:10.687518,0 days 00:12:07.501293,512,2.0,1e-06,COMPLETE
28,0.018933343892418714,2020-11-26 23:11:10.709459,2020-11-26 23:37:27.820637,0 days 00:26:17.111178,2048,2.0,0.0001,COMPLETE
29,0.018723874071894894,2020-11-26 23:37:27.844573,2020-11-26 23:51:55.310343,0 days 00:14:27.465770,768,1.0,1e-06,COMPLETE
30,0.01904909150771326,2020-11-26 23:51:55.334280,2020-11-27 00:02:46.910395,0 days 00:10:51.576115,128,2.0,0.1,COMPLETE
31,0.018723874071894894,2020-11-27 00:02:46.931339,2020-11-27 00:16:22.243348,0 days 00:13:35.312009,768,1.0,1e-06,COMPLETE
32,0.018723874071894894,2020-11-27 00:16:22.270276,2020-11-27 00:29:21.376576,0 days 00:12:59.106300,768,2.0,0.0001,COMPLETE
