[2020-11-05 22:55:14] - ### HONBAN: FOLDS:5, EPOCHS:80 ###
[2020-11-05 22:59:54] - model_type:4l, oof:0.0177348, train_flag:train
[2020-11-05 23:02:35] - model_type:4l, oof:0.0167407, train_flag:train
[2020-11-05 23:05:18] - model_type:4l, oof:0.0169992, train_flag:train
[2020-11-05 23:07:07] - model_type:lr, oof:0.0201498, train_flag:train
[2020-11-05 23:11:39] - model_type:2l, oof:0.0164098, train_flag:train
[2020-11-05 23:15:51] - model_type:3l, oof:0.0164497, train_flag:train
[2020-11-05 23:18:19] - model_type:4l, oof:0.0164254, train_flag:train
[2020-11-05 23:23:31] - model_type:5l, oof:0.0164321, train_flag:train
[2020-11-05 23:25:21] - model_type:rs, oof:0.0167401, train_flag:train
[2020-11-05 23:29:35] - model_type:3l_v2, oof:0.0165707, train_flag:train
[2020-11-05 23:32:04] - model_type:3lWN, oof:0.0187127, train_flag:train
[2020-11-05 23:35:25] - model_type:stack_tabnet, oof:0.0170727, train_flag:train
[2020-11-05 23:37:28] - model_type:tabnet_class, oof:0.0169266, train_flag:train
[2020-11-05 23:37:32] - model_type:lr-2l-3l-4l-5l-rs-3l_v2-3lWN-stack_tabnet-tabnet_class, oof:0.0207735, train_flag:train
[2020-11-05 23:37:49] - model_type:lr, oof:0.0201498, train_flag:inference
[2020-11-05 23:38:09] - model_type:2l, oof:0.0164098, train_flag:inference
[2020-11-05 23:38:29] - model_type:3l, oof:0.0164497, train_flag:inference
[2020-11-05 23:38:47] - model_type:4l, oof:0.0164254, train_flag:inference
[2020-11-05 23:39:04] - model_type:5l, oof:0.0164321, train_flag:inference
[2020-11-05 23:39:23] - model_type:rs, oof:0.0167401, train_flag:inference
[2020-11-05 23:39:44] - model_type:3l_v2, oof:0.0165707, train_flag:inference
[2020-11-05 23:40:04] - model_type:3lWN, oof:0.0187127, train_flag:inference
[2020-11-05 23:40:59] - model_type:stack_tabnet, oof:0.0170727, train_flag:inference
[2020-11-05 23:41:35] - model_type:tabnet_class, oof:0.0169266, train_flag:inference
[2020-11-05 23:41:39] - model_type:lr-2l-3l-4l-5l-rs-3l_v2-3lWN-stack_tabnet-tabnet_class, oof:0.0207735, train_flag:inference
[2020-11-05 23:45:38] - model_type:lr, oof:0.0186527, train_flag:train
[2020-11-05 23:50:58] - model_type:2l, oof:0.0163229, train_flag:train
[2020-11-05 23:55:16] - model_type:3l, oof:0.016373, train_flag:train
[2020-11-05 23:57:56] - model_type:4l, oof:0.0163573, train_flag:train
[2020-11-06 00:02:50] - model_type:5l, oof:0.0163736, train_flag:train
[2020-11-06 00:04:50] - model_type:rs, oof:0.0167736, train_flag:train
[2020-11-06 00:09:17] - model_type:3l_v2, oof:0.0164841, train_flag:train
[2020-11-06 00:12:05] - model_type:3lWN, oof:0.0184097, train_flag:train
[2020-11-06 00:15:24] - model_type:stack_tabnet, oof:0.0174892, train_flag:train
[2020-11-06 00:17:36] - model_type:tabnet_class, oof:0.0172772, train_flag:train
[2020-11-06 00:17:39] - model_type:lr-2l-3l-4l-5l-rs-3l_v2-3lWN-stack_tabnet-tabnet_class, oof:0.0208002, train_flag:train
[2020-11-06 00:36:51] - model_type:rs, oof:0.0162722, train_flag:train
[2020-11-06 00:52:33] - model_type:2l, oof:0.0162439, train_flag:train
[2020-11-06 01:01:20] - model_type:4l, oof:0.0161925, train_flag:train
[2020-11-06 01:17:40] - model_type:5l, oof:0.0162111, train_flag:train
[2020-11-06 01:30:59] - model_type:3l, oof:0.0161922, train_flag:train
[2020-11-06 01:40:18] - model_type:stack_tabnet, oof:0.0169984, train_flag:train
[2020-11-06 01:40:21] - model_type:rs-2l-4l-5l-3l-stack_tabnet, oof:0.0192757, train_flag:train
[2020-11-06 01:55:52] - model_type:tabnet_class, oof:0.0167243, train_flag:train
[2020-11-06 02:25:21] - model_type:stack_tabnet, oof:0.0166928, train_flag:train
[2020-11-06 02:34:19] - model_type:tabnet_class, oof:0.01672, train_flag:train
[2020-11-06 02:50:52] - model_type:stack_tabnet, oof:0.0166722, train_flag:train
[2020-11-06 02:56:08] - model_type:tabnet_class, oof:0.0168313, train_flag:train
[2020-11-06 03:05:09] - model_type:stack_tabnet, oof:0.0167191, train_flag:train
[2020-11-06 03:08:20] - model_type:tabnet_class, oof:0.016871, train_flag:train
[2020-11-06 03:13:22] - model_type:stack_tabnet, oof:0.0168043, train_flag:train
[2020-11-06 03:15:35] - model_type:tabnet_class, oof:0.0169266, train_flag:train
[2020-11-06 03:19:02] - model_type:stack_tabnet, oof:0.0170727, train_flag:train
[2020-11-06 03:20:47] - model_type:tabnet_class, oof:0.0169572, train_flag:train
[2020-11-06 03:23:23] - model_type:stack_tabnet, oof:0.0171816, train_flag:train
[2020-11-06 03:24:58] - model_type:tabnet_class, oof:0.0170571, train_flag:train
[2020-11-06 03:27:04] - model_type:stack_tabnet, oof:0.0174936, train_flag:train
[2020-11-06 03:28:46] - model_type:tabnet_class, oof:0.017026, train_flag:train
[2020-11-06 03:32:09] - model_type:stack_tabnet, oof:0.0169037, train_flag:train
[2020-11-06 03:33:57] - model_type:tabnet_class, oof:0.0168217, train_flag:train
[2020-11-06 03:37:06] - model_type:stack_tabnet, oof:0.0168527, train_flag:train
[2020-11-06 03:41:14] - model_type:tabnet_class, oof:0.017057, train_flag:train
[2020-11-06 03:46:57] - model_type:stack_tabnet, oof:0.0173896, train_flag:train
[2020-11-06 03:53:56] - model_type:tabnet_class, oof:0.0194554, train_flag:train
[2020-11-06 04:05:14] - model_type:stack_tabnet, oof:0.0186935, train_flag:train
[2020-11-06 04:07:26] - model_type:tabnet_class, oof:0.0169266, train_flag:train
[2020-11-06 04:10:52] - model_type:stack_tabnet, oof:0.0170727, train_flag:train
[2020-11-06 04:15:51] - model_type:tabnet_class, oof:0.0203953, train_flag:train
[2020-11-06 04:27:39] - model_type:stack_tabnet, oof:0.0196769, train_flag:train
[2020-11-06 04:37:24] - model_type:tabnet_class, oof:0.0199118, train_flag:train
[2020-11-06 04:54:20] - model_type:stack_tabnet, oof:0.0197523, train_flag:train
[2020-11-06 05:04:54] - model_type:tabnet_class, oof:0.0195765, train_flag:train
[2020-11-06 05:27:05] - model_type:stack_tabnet, oof:0.0198399, train_flag:train
[2020-11-06 05:52:55] - model_type:tabnet_class, oof:0.0197219, train_flag:train
[2020-11-06 06:37:15] - model_type:stack_tabnet, oof:0.0205714, train_flag:train
[2020-11-06 06:41:06] - model_type:tabnet_class, oof:0.0176771, train_flag:train
[2020-11-06 06:47:22] - model_type:stack_tabnet, oof:0.0187168, train_flag:train
[2020-11-06 06:50:10] - model_type:tabnet_class, oof:0.0171134, train_flag:train
[2020-11-06 06:54:27] - model_type:stack_tabnet, oof:0.0173601, train_flag:train
[2020-11-06 06:56:54] - model_type:tabnet_class, oof:0.0169299, train_flag:train
[2020-11-06 07:00:40] - model_type:stack_tabnet, oof:0.0170718, train_flag:train
[2020-11-06 07:02:54] - model_type:tabnet_class, oof:0.0169031, train_flag:train
[2020-11-06 07:06:19] - model_type:stack_tabnet, oof:0.0169695, train_flag:train
[2020-11-06 07:08:32] - model_type:stack_tabnet, oof:0.0169266, train_flag:train
[2020-11-06 07:11:59] - model_type:stack_tabnet, oof:0.0170727, train_flag:train
[2020-11-06 07:16:42] - model_type:stack_tabnet, oof:0.0170906, train_flag:train
[2020-11-06 07:22:57] - model_type:stack_tabnet, oof:0.017029, train_flag:train
[2020-11-06 07:31:27] - model_type:stack_tabnet, oof:0.0170164, train_flag:train
[2020-11-06 07:34:14] - model_type:4l, oof:0.0163999, train_flag:train
[2020-11-06 07:37:36] - model_type:4l, oof:0.0163716, train_flag:train
[2020-11-06 07:40:38] - model_type:4l, oof:0.0163907, train_flag:train
[2020-11-06 07:43:38] - model_type:4l, oof:0.0163949, train_flag:train
[2020-11-06 07:48:52] - model_type:4l, oof:0.0163159, train_flag:train
[2020-11-06 07:51:40] - model_type:4l, oof:0.0164733, train_flag:train
[2020-11-06 07:54:44] - model_type:4l, oof:0.0164171, train_flag:train
[2020-11-06 07:57:38] - model_type:4l, oof:0.0164193, train_flag:train
[2020-11-06 08:00:19] - model_type:4l, oof:0.0165149, train_flag:train
[2020-11-06 08:03:35] - model_type:4l, oof:0.0164285, train_flag:train
[2020-11-06 08:06:33] - model_type:4l, oof:0.0163416, train_flag:train
[2020-11-06 08:10:14] - model_type:4l, oof:0.0164231, train_flag:train
