number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.015539854380115726,2020-11-19 16:26:18.157866,2020-11-19 17:12:12.187368,0 days 00:45:54.029502,0.1,1.0551779964424755e-06,2.934667538425116e-08,2,5193,2,COMPLETE
1,0.015458246413725856,2020-11-19 17:12:12.299308,2020-11-19 18:29:22.297926,0 days 01:17:09.998618,0.7000000000000001,2.266682585645732,0.2904752718731923,1,2798,3,COMPLETE
2,0.015366864917462234,2020-11-19 18:29:22.413927,2020-11-19 19:20:50.659823,0 days 00:51:28.245896,0.25,0.6041911560283396,1.8787800155635633e-09,2,2517,4,COMPLETE
3,0.01578016399760539,2020-11-19 19:20:50.925190,2020-11-19 20:22:03.291308,0 days 01:01:12.366118,0.6,2.534366305306395e-08,9.572268915979553e-08,3,8152,2,COMPLETE
4,0.015378834074944118,2020-11-19 20:22:03.411684,2020-11-19 21:17:34.734060,0 days 00:55:31.322376,0.35,0.008379655349166654,0.5806193736857088,2,1032,3,COMPLETE
5,0.015593365225362836,2020-11-19 21:17:34.963333,2020-11-19 22:25:48.306258,0 days 01:08:13.342925,0.85,5.376501139293248e-07,3.91229876932139e-09,1,5385,3,COMPLETE
6,0.015471930264431907,2020-11-19 22:25:48.427788,2020-11-19 23:38:59.123883,0 days 01:13:10.696095,0.5,3.792235518032065,0.00021461143067923896,1,1096,4,COMPLETE
7,0.015807516086833843,2020-11-19 23:38:59.269477,2020-11-20 00:27:35.165372,0 days 00:48:35.895895,0.2,0.068099626024267,1.3347146120884389e-05,1,8690,2,COMPLETE
8,0.01772492841627598,2020-11-20 00:27:35.349191,2020-11-20 01:28:13.760034,0 days 01:00:38.410843,0.7000000000000001,9.659462204707704e-07,2.8929775326763665e-05,2,16,4,COMPLETE
9,0.01537744547914584,2020-11-20 01:28:13.980764,2020-11-20 02:28:05.969982,0 days 00:59:51.989218,0.5,9.156354623529422e-09,1.0806913237694276,3,1641,3,COMPLETE
10,0.015397412832142151,2020-11-20 02:28:06.070981,2020-11-20 03:21:03.796118,0 days 00:52:57.725137,0.30000000000000004,0.0006138020019147875,0.0033812186382873644,3,3522,4,COMPLETE
11,0.01540600714397387,2020-11-20 03:21:03.981602,2020-11-20 04:25:00.369098,0 days 01:03:56.387496,0.45000000000000007,1.939016647064206e-09,8.383105917952633,3,1821,4,COMPLETE
12,0.015356101739900152,2020-11-20 04:25:00.497153,2020-11-20 05:12:18.160727,0 days 00:47:17.663574,0.15000000000000002,5.0933369215479853e-05,4.932252919980433e-07,3,2984,3,COMPLETE
13,0.01537340726125775,2020-11-20 05:12:18.290688,2020-11-20 05:58:40.594872,0 days 00:46:22.304184,0.1,7.595643589117365e-05,3.1134331668691396e-07,2,3508,4,COMPLETE
14,0.015475201811853648,2020-11-20 05:58:40.781884,2020-11-20 06:49:24.361094,0 days 00:50:43.579210,0.25,8.168016341260164e-05,1.0284383424751873e-09,3,4590,3,COMPLETE
15,0.01534918402611596,2020-11-20 06:49:24.488944,2020-11-20 07:37:17.270837,0 days 00:47:52.781893,0.15000000000000002,0.04956120208066236,1.9239212352888357e-06,2,2834,4,COMPLETE
16,0.01563889371623865,2020-11-20 07:37:17.508660,2020-11-20 08:23:22.614013,0 days 00:46:05.105353,0.1,0.0024995461777720875,4.547701616451075e-06,3,6725,2,COMPLETE
17,0.015468242528645836,2020-11-20 08:23:22.768456,2020-11-20 09:36:10.876447,0 days 01:12:48.107991,0.9500000000000001,1.5861016236442383e-05,7.557278308316367e-07,2,4103,3,COMPLETE
18,0.01540792141783058,2020-11-20 09:36:11.071865,2020-11-20 10:33:36.618827,0 days 00:57:25.546962,0.4,0.06755988471004343,0.005224190613491136,3,3094,4,COMPLETE
19,0.015342223303302177,2020-11-20 10:33:36.792268,2020-11-20 11:23:11.080020,0 days 00:49:34.287752,0.2,0.03501754985024391,0.00025612761055131923,2,2142,3,COMPLETE
20,0.015348934243517534,2020-11-20 11:23:11.237669,2020-11-20 12:19:12.086113,0 days 00:56:00.848444,0.35,0.11284905909241214,0.0005735096040894279,2,1683,4,COMPLETE
21,0.015348939171806564,2020-11-20 12:19:12.200186,2020-11-20 13:15:51.984887,0 days 00:56:39.784701,0.35,0.1042731232082745,0.0005347373110894454,2,2025,4,COMPLETE
22,0.015349244383327135,2020-11-20 13:15:52.115341,2020-11-20 14:11:49.610245,0 days 00:55:57.494904,0.35,0.3394696858473767,0.0006354210800770957,2,1932,4,COMPLETE
23,0.015357904043934605,2020-11-20 14:11:49.741445,2020-11-20 15:05:46.402364,0 days 00:53:56.660919,0.30000000000000004,0.005527711330269401,0.0020319329969344635,2,1155,4,COMPLETE
